team_id,team_liga,name,evidence_status
4,1027,CHAPECOENSE,BASELINE_IMPORTED
8,312,FLAMENGO,BASELINE_IMPORTED
11,313,INTERNACIONAL,BASELINE_IMPORTED
18,34,VASCO DA GAMA,BASELINE_IMPORTED
16385,72,ATLÉTICO MINEIRO,BASELINE_IMPORTED
16386,613,BAHIA,BASELINE_IMPORTED
16393,312,FLUMINENSE,BASELINE_IMPORTED
16396,1019,MIRASSOL,BASELINE_IMPORTED
16397,34,PALMEIRAS,BASELINE_IMPORTED
16399,674,REMO,BASELINE_IMPORTED
16403,484,VITÓRIA,BASELINE_IMPORTED
32768,482,ATHLETICO PARANAENSE,BASELINE_IMPORTED
32771,311,BOTAFOGO,BASELINE_IMPORTED
32775,68,CRUZEIRO,BASELINE_IMPORTED
32778,312,GRÊMIO,BASELINE_IMPORTED
32784,313,SANTOS,BASELINE_IMPORTED
49157,311,CORINTHIANS,BASELINE_IMPORTED
49158,482,CORITIBA,BASELINE_IMPORTED
49166,614,RED BULL BRAGANTINO,BASELINE_IMPORTED
49169,313,SÃO PAULO,BASELINE_IMPORTED

