ct_entry_id,ct_path,ct_description,ct_entry_kind,offset_hex,variable_type,declared_width,bit_start,bit_length,profile_field,profile_parent,profile_width,width_match,match_basis,evidence_status,ct_claim_status,records_observed,distinct_values,zero_count,all_ones_count,minimum,maximum,top_values
17,Scripts > Edit Player > Player Info > Height (cm),Height (cm),PLAYER_FIELD,0x0,Binary,1,0,8,height,height,1,true,OFFSET,CONFIRMED,CANDIDATE,25005,53,0,,130,210,"[[180,2013],[178,1537],[185,1439],[175,1405],[183,1316]]"
22,Scripts > Edit Player > Player Info > Weight (kg),Weight (kg),PLAYER_FIELD,0x1,Binary,1,0,8,weight,weight,1,true,OFFSET,CONFIRMED,CANDIDATE,25005,59,0,,50,129,"[[70,2369],[78,2233],[72,1828],[75,1727],[80,1333]]"
115,Scripts > Edit Player > Abilities > Attributes > Offensive Awareness,Offensive Awareness,PLAYER_FIELD,0x3,Binary,1,0,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,55,0,,40,95,"[[75,1365],[70,1233],[65,1209],[40,1122],[76,958]]"
131,Scripts > Edit Player > Player Info > Stronger Foot,Stronger Foot,PLAYER_FIELD,0x3,Binary,1,7,1,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,2,19390,,0,1,"[[0,19390],[1,5615]]"
135,Scripts > Edit Player > Abilities > Attributes > Defensive Awareness,Defensive Awareness,PLAYER_FIELD,0x4,Binary,1,0,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,55,0,,40,96,"[[50,1197],[75,1086],[65,893],[52,878],[70,872]]"
137,Scripts > Edit Player > Abilities > Attributes > GK Awareness,GK Awareness,PLAYER_FIELD,0x4,Binary,2,7,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,57,0,,40,98,"[[40,22083],[80,250],[78,221],[79,213],[77,198]]"
116,Scripts > Edit Player > Abilities > Attributes > Dribbling,Dribbling,PLAYER_FIELD,0x5,Binary,2,6,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,55,0,,40,95,"[[70,1625],[75,1539],[72,1380],[73,1293],[71,1238]]"
117,Scripts > Edit Player > Abilities > Attributes > Ball Control,Ball Control,PLAYER_FIELD,0x6,Binary,2,5,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,56,0,,40,96,"[[75,1822],[70,1804],[72,1615],[73,1509],[71,1395]]"
90,Scripts > Edit Player > Positions > Registred Position,Registred Position,PLAYER_FIELD,0x7,Binary,1,4,4,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,13,2771,,0,12,"[[1,4215],[12,3152],[5,2889],[0,2771],[4,2077]]"
118,Scripts > Edit Player > Abilities > Attributes > Tight Possession,Tight Possession,PLAYER_FIELD,0x8,Binary,1,0,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,56,0,,40,99,"[[70,1714],[75,1687],[72,1217],[73,1197],[71,1151]]"
122,Scripts > Edit Player > Abilities > Attributes > Finishing,Finishing,PLAYER_FIELD,0x8,Binary,2,7,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,54,0,,40,93,"[[40,1522],[60,1221],[75,1115],[65,993],[70,948]]"
119,Scripts > Edit Player > Abilities > Attributes > Low Pass,Low Pass,PLAYER_FIELD,0x9,Binary,2,6,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,56,0,,40,96,"[[70,1863],[75,1747],[72,1500],[73,1418],[68,1377]]"
120,Scripts > Edit Player > Abilities > Attributes > Lofted Pass,Lofted Pass,PLAYER_FIELD,0xA,Binary,2,5,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,54,0,,40,96,"[[70,1828],[75,1636],[72,1432],[73,1332],[68,1287]]"
121,Scripts > Edit Player > Abilities > Attributes > Heading,Heading,PLAYER_FIELD,0xC,Binary,1,0,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,54,0,,40,94,"[[60,2922],[70,1754],[65,1381],[62,1211],[63,1206]]"
136,Scripts > Edit Player > Abilities > Attributes > Ball Winning,Ball Winning,PLAYER_FIELD,0xC,Binary,2,7,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,55,0,,40,94,"[[51,1100],[75,1060],[50,1013],[70,992],[52,854]]"
51,Scripts > Edit Player > Abilities > Attributes > Aggression,Aggression,PLAYER_FIELD,0xD,Binary,2,6,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,57,0,,40,99,"[[70,1258],[75,1059],[65,997],[72,954],[66,939]]"
124,Scripts > Edit Player > Abilities > Attributes > Place Kicking,Place Kicking,PLAYER_FIELD,0xE,Binary,2,5,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,53,0,,40,93,"[[60,1742],[65,1405],[62,1376],[61,1238],[63,1219]]"
126,Scripts > Edit Player > Abilities > Attributes > Curl,Curl,PLAYER_FIELD,0x10,Binary,1,0,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,52,0,,40,91,"[[65,1722],[67,1378],[66,1351],[70,1339],[68,1336]]"
138,Scripts > Edit Player > Abilities > Attributes > GK Catching,GK Catching,PLAYER_FIELD,0x10,Binary,2,7,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,53,0,,40,95,"[[40,22169],[78,226],[80,225],[77,208],[81,183]]"
139,Scripts > Edit Player > Abilities > Attributes > GK Clearing,GK Clearing,PLAYER_FIELD,0x11,Binary,2,6,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,54,0,,40,96,"[[40,22211],[80,221],[78,215],[79,210],[77,176]]"
140,Scripts > Edit Player > Abilities > Attributes > GK Reflexes,GK Reflexes,PLAYER_FIELD,0x12,Binary,2,5,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,52,0,,40,99,"[[40,22217],[80,252],[79,210],[82,208],[78,208]]"
142,Scripts > Edit Player > Abilities > Attributes > GK Reach,GK Reach,PLAYER_FIELD,0x14,Binary,1,0,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,51,0,,40,98,"[[40,22221],[80,265],[79,241],[78,204],[81,196]]"
127,Scripts > Edit Player > Abilities > Attributes > Speed,Speed,PLAYER_FIELD,0x14,Binary,2,7,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,56,0,,40,96,"[[75,2017],[76,1821],[78,1757],[77,1631],[74,1406]]"
132,Scripts > Edit Player > Abilities > Attributes > Physical Contact,Physical Contact,PLAYER_FIELD,0x15,Binary,2,6,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,52,0,,40,99,"[[70,1584],[75,1502],[78,1270],[65,1246],[76,1242]]"
133,Scripts > Edit Player > Abilities > Attributes > Balance,Balance,PLAYER_FIELD,0x16,Binary,2,5,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,54,0,,40,93,"[[75,1947],[70,1721],[76,1433],[72,1276],[73,1274]]"
146,Scripts > Edit Player > Abilities > Attributes > Form,Form,PLAYER_FIELD,0x17,Binary,1,4,3,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,8,42,,0,7,"[[3,12233],[4,7488],[5,2742],[2,1289],[6,539]]"
129,Scripts > Edit Player > Abilities > Attributes > Kicking Power,Kicking Power,PLAYER_FIELD,0x18,Binary,1,0,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,51,0,,40,97,"[[75,2419],[70,1885],[72,1823],[73,1654],[76,1635]]"
128,Scripts > Edit Player > Abilities > Attributes > Acceleration,Acceleration,PLAYER_FIELD,0x18,Binary,2,7,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,55,0,,40,98,"[[75,1840],[76,1592],[78,1562],[77,1479],[79,1264]]"
130,Scripts > Edit Player > Abilities > Attributes > Jump,Jump,PLAYER_FIELD,0x19,Binary,2,6,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,55,0,,40,99,"[[70,1661],[75,1469],[72,1316],[65,1301],[68,1214]]"
134,Scripts > Edit Player > Abilities > Attributes > Stamina,Stamina,PLAYER_FIELD,0x1A,Binary,2,5,7,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,54,0,,40,96,"[[80,4055],[76,1857],[78,1737],[75,1733],[77,1422]]"
187,Scripts > Edit Player > Abilities > COM Playing Styles > Trickster,Trickster,PLAYER_FIELD,0x1B,Binary,1,7,1,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,2,22737,,0,1,"[[0,22737],[1,2268]]"
56,Scripts > Edit Player > Player Info > Age,Age,PLAYER_FIELD,0x1C,Binary,1,0,6,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,37,0,,15,63,"[[23,1881],[22,1877],[25,1824],[24,1765],[21,1752]]"
185,Scripts > Edit Player > Abilities > Playing Style,Playing Style,PLAYER_FIELD,0x1D,Binary,1,3,5,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,22,1101,,0,21,"[[11,2468],[4,2180],[9,2136],[15,1962],[1,1919]]"
92,Scripts > Edit Player > Positions > Playable Position > CF - Center Forward,CF - Center Forward,PLAYER_FIELD,0x1F,Binary,1,1,2,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,3,19647,,0,2,"[[0,19647],[2,4358],[1,1000]]"
93,Scripts > Edit Player > Positions > Playable Position > SS - Second Striker,SS - Second Striker,PLAYER_FIELD,0x1F,Binary,1,3,2,,,,UNKNOWN,NO_PROFILE_MATCH,UNKNOWN,CANDIDATE,25005,3,18319,,0,2,"[[0,18319],[2,3598],[1,3088]]"
