offset_decimal,offset_hex,byte_state,profile_fields,ct_labels,distinct_byte_values,zero_count,ff_count,minimum,maximum,top_values
0,0x000,PROFILE_CONFIRMED,height,Height (cm),53,0,0,130,210,"[[180,2013],[178,1537],[185,1439],[175,1405],[183,1316]]"
1,0x001,PROFILE_CONFIRMED,weight,Weight (kg),59,0,0,50,129,"[[70,2369],[78,2233],[72,1828],[75,1727],[80,1333]]"
2,0x002,UNLABELLED,,,213,4308,0,0,253,"[[0,4308],[1,2798],[162,1306],[5,749],[90,540]]"
3,0x003,LABELLED_UNKNOWN,,Offensive Awareness;Stronger Foot,105,0,0,40,223,"[[75,1027],[40,1016],[65,927],[70,895],[76,722]]"
4,0x004,LABELLED_UNKNOWN,,Defensive Awareness;GK Awareness,102,0,0,40,216,"[[50,1101],[75,1076],[70,849],[52,828],[65,775]]"
5,0x005,LABELLED_UNKNOWN,,Dribbling;GK Awareness,108,0,0,20,240,"[[20,5844],[148,5580],[212,5558],[84,5141],[39,134]]"
6,0x006,LABELLED_UNKNOWN,,Ball Control;Dribbling,110,0,0,10,247,"[[114,881],[209,821],[113,709],[50,702],[17,698]]"
7,0x007,LABELLED_UNKNOWN,,Ball Control;Registred Position,80,0,0,5,203,"[[24,2526],[89,1775],[201,1644],[6,1400],[200,1245]]"
8,0x008,LABELLED_UNKNOWN,,Finishing;Tight Possession,110,0,0,40,223,"[[70,891],[203,844],[75,843],[198,823],[73,636]]"
9,0x009,LABELLED_UNKNOWN,,Finishing;Low Pass,107,0,0,20,238,"[[20,628],[229,515],[158,510],[148,504],[222,492]]"
10,0x00A,LABELLED_UNKNOWN,,Lofted Pass;Low Pass,106,0,0,10,245,"[[114,1117],[209,999],[50,794],[82,775],[210,746]]"
11,0x00B,LABELLED_UNKNOWN,,Lofted Pass,67,0,0,5,155,"[[8,4555],[9,3585],[7,2444],[40,1081],[41,990]]"
12,0x00C,LABELLED_UNKNOWN,,Ball Winning;Heading,106,0,0,40,221,"[[188,1474],[60,1448],[198,904],[70,850],[65,709]]"
13,0x00D,LABELLED_UNKNOWN,,Aggression;Ball Winning,108,0,0,20,239,"[[217,667],[153,550],[163,514],[37,470],[35,458]]"
14,0x00E,LABELLED_UNKNOWN,,Aggression;Place Kicking,112,0,0,10,247,"[[144,550],[208,522],[145,506],[81,500],[210,490]]"
15,0x00F,LABELLED_UNKNOWN,,Place Kicking,63,0,0,5,155,"[[7,4549],[8,4032],[6,2467],[39,1166],[9,1159]]"
16,0x010,LABELLED_UNKNOWN,,Curl;GK Catching,96,0,0,40,212,"[[65,1711],[67,1368],[66,1342],[70,1333],[68,1326]]"
17,0x011,LABELLED_UNKNOWN,,GK Catching;GK Clearing,90,0,0,20,237,"[[20,22169],[40,130],[231,117],[167,105],[232,98]]"
18,0x012,LABELLED_UNKNOWN,,GK Clearing;GK Reflexes,91,0,0,10,247,"[[10,22217],[243,132],[211,127],[19,119],[84,119]]"
19,0x013,LABELLED_UNKNOWN,,GK Reflexes,38,0,0,5,149,"[[5,18611],[10,1179],[9,998],[37,915],[53,680]]"
20,0x014,LABELLED_UNKNOWN,,GK Reach;Speed,96,0,0,40,223,"[[40,11513],[168,10708],[80,133],[208,132],[207,123]]"
21,0x015,LABELLED_UNKNOWN,,Physical Contact;Speed,107,0,0,20,240,"[[229,895],[230,895],[37,892],[166,857],[38,851]]"
22,0x016,LABELLED_UNKNOWN,,Balance;Physical Contact,99,0,0,10,248,"[[145,779],[147,763],[146,731],[210,719],[209,679]]"
23,0x017,LABELLED_UNKNOWN,,Balance;Form,54,0,0,5,123,"[[57,5172],[56,4402],[73,2856],[72,2564],[55,1568]]"
24,0x018,LABELLED_UNKNOWN,,Acceleration;Kicking Power,91,0,0,40,225,"[[75,1223],[203,1196],[70,983],[72,952],[198,902]]"
25,0x019,LABELLED_UNKNOWN,,Acceleration;Jump,115,0,0,20,241,"[[166,805],[37,788],[38,775],[229,753],[165,751]]"
26,0x01A,LABELLED_UNKNOWN,,Jump;Stamina,102,0,0,10,248,"[[17,1073],[20,980],[16,962],[18,942],[19,901]]"
27,0x01B,LABELLED_UNKNOWN,,Stamina;Trickster,94,0,0,5,250,"[[25,4470],[41,3188],[26,2622],[24,2045],[42,1767]]"
28,0x01C,LABELLED_UNKNOWN,,Age,121,0,0,15,242,"[[22,1627],[23,1611],[25,1557],[24,1518],[21,1513]]"
29,0x01D,LABELLED_UNKNOWN,,Playing Style,110,1057,0,0,172,"[[88,2048],[72,1960],[120,1814],[8,1625],[32,1589]]"
30,0x01E,UNLABELLED,,,99,10012,0,0,228,"[[0,10012],[18,1920],[1,1736],[9,1625],[2,1501]]"
31,0x01F,LABELLED_UNKNOWN,,CF - Center Forward;LWF - Left Wing Forward;Mazing Run;SS - Second Striker,106,13751,0,0,213,"[[0,13751],[64,858],[12,833],[128,810],[80,731]]"
32,0x020,LABELLED_UNKNOWN,,AMF - Attacking Midfielder;CMF - Center Midfielder;DMF - Defensive Midfielder;RWF - Right Wing Forward,75,10614,0,0,170,"[[0,10614],[2,2558],[160,1491],[10,1187],[164,873]]"
33,0x021,LABELLED_UNKNOWN,,CB - Center Back;LB - Left Back;LMF - Left Midfielder;RMF - Right Midfielder,77,9681,0,0,170,"[[0,9681],[32,3520],[10,2731],[4,948],[5,848]]"
34,0x022,LABELLED_UNKNOWN,,GK - Goalkeeper;Injury Resistance;RB - Right Back;Weak Foot Accuracy,50,296,0,0,184,"[[80,8996],[96,2953],[88,1643],[82,1569],[160,1435]]"
35,0x023,LABELLED_UNKNOWN,,Incisive Run;Speeding Bullet;Weak Foot Usage,152,1034,0,0,235,"[[1,8643],[5,3991],[2,2178],[0,1034],[65,817]]"
36,0x024,LABELLED_UNKNOWN,,Cut Behind & Turn;Early Cross;Flip Flap;Long Ball Expert;Long Ranger;Marseille Turn;Scissors Feint;Sombrero,177,14014,0,0,252,"[[0,14014],[1,1956],[4,1908],[2,1442],[128,828]]"
37,0x025,LABELLED_UNKNOWN,,Acrobatic Finishing;First-time Shot;Heading;Heel Trick;Knuckle Shot;Long Range Drive;One-touch Pass;Scotch Move,163,15695,0,0,252,"[[0,15695],[2,1985],[128,1400],[64,855],[4,504]]"
38,0x026,LABELLED_UNKNOWN,,GK Long Throw;GK Low Punt;Long Throw;Low Lofted Pass;Outside Curler;Pinpoint Crossing;Rabona;Weighted Pass,54,18318,0,0,176,"[[0,18318],[2,900],[1,888],[64,779],[4,677]]"
39,0x027,LABELLED_UNKNOWN,,Acrobatic Clear;Captaincy;Fighting Spirit;Gamesmanship;Man Marking;No Look Pass;Super-Sub;Track Back,103,14935,0,0,225,"[[0,14935],[1,1793],[64,1632],[2,739],[16,676]]"
40,0x028,LABELLED_UNKNOWN,,Chip shot control;Dipping Shot;GK High Punt;GK Penalty Saver;Interception;Penalty Specialist;Rising Shots;Step On Skill control,63,15321,0,0,194,"[[0,15321],[128,3092],[8,1247],[32,1026],[16,690]]"
41,0x029,LABELLED_UNKNOWN,,Cross Over Turn;Double Touch;Long Range Shooting;Through Passing,16,19907,0,0,15,"[[0,19907],[1,1165],[8,1096],[4,1054],[2,493]]"
42,0x02A,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
43,0x02B,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
44,0x02C,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
45,0x02D,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
46,0x02E,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
47,0x02F,UNLABELLED,,,1,25005,0,0,0,"[[0,25005]]"
48,0x030,PROFILE_CONFIRMED,playerId,Player ID,256,102,95,0,255,"[[155,119],[168,115],[169,114],[205,113],[93,113]]"
49,0x031,PROFILE_CONFIRMED,playerId,Player ID,220,77,114,0,255,"[[214,389],[227,373],[226,348],[218,308],[217,273]]"
50,0x032,PROFILE_CONFIRMED,playerId,Player ID,22,6773,0,0,129,"[[1,10414],[0,6773],[2,6015],[4,607],[6,588]]"
51,0x033,PROFILE_CONFIRMED,playerId,Player ID,3,24013,0,0,128,"[[0,24013],[64,989],[128,3]]"
52,0x034,PROFILE_CANDIDATE,commentaryId,Commentary ID,256,81,3574,0,255,"[[255,3574],[197,147],[148,127],[38,125],[40,125]]"
53,0x035,PROFILE_CANDIDATE,commentaryId,Commentary ID,240,85,3585,0,255,"[[255,3585],[214,248],[179,248],[248,244],[227,238]]"
54,0x036,PROFILE_CANDIDATE,commentaryId,Commentary ID,10,6990,3487,0,255,"[[1,9314],[0,6990],[2,4691],[255,3487],[6,192]]"
55,0x037,PROFILE_CANDIDATE,commentaryId,Commentary ID,4,19989,3487,0,255,"[[0,19989],[255,3487],[64,803],[128,726]]"
56,0x038,PROFILE_CONFIRMED,playerName,Player Name,29,0,0,65,197,"[[77,2584],[65,2500],[74,2339],[76,1575],[82,1453]]"
57,0x039,PROFILE_CONFIRMED,playerName,Player Name,54,0,0,39,196,"[[97,6100],[111,2750],[101,2631],[105,2475],[117,2111]]"
58,0x03A,PROFILE_CONFIRMED,playerName,Player Name,58,8,0,0,197,"[[114,2325],[32,2226],[110,2148],[97,1890],[105,1560]]"
59,0x03B,PROFILE_CONFIRMED,playerName,Player Name,76,24,0,0,197,"[[97,2703],[105,2561],[110,2036],[114,1711],[101,1460]]"
