record_index,player_id,player_name,base_link_12c_a,base_link_12e_b,aux_link_160_a,aux_link_162_b,roster_link_164_a,roster_link_166_b,salary_raw_candidate,contract_end_candidate,market_value_raw,transfer_flags_raw,transfer_listed_candidate,loan_listed_candidate,form_arrow_candidate,stamina_candidate,raw_record_sha256
0,58120,Piero Hincapié,16384,25,65535,65535,16384,25,34526,2029-08-31,500000,0,False,False,2,100,ca7070a2323cf02caa78ae1be0727c43fdb9b746b6e31c886e75e61da83a664e
1,111207,Gabriel Magalhães,16384,25,65535,65535,16384,25,85222,2027-08-31,750000,0,False,False,2,100,e7368e8dbcefcdfc5319f5a0c5c9b60a178e3acfb9c4b90f3757f7d905f99070
2,101520,David Raya,16384,25,65535,65535,16384,25,85222,2028-08-31,350000,2,True,False,2,100,41f5c28d44d3971d31621352081cfd182a77f74153cb740af686c3aa5b40249f
3,126689,William Saliba,16384,25,65535,65535,16384,25,89069,2028-08-31,900000,0,False,False,2,100,98ebf20095211419d86574fcfcfc20dc917031962284f4ef25df6159804f74dd
4,127544,Bukayo Saka,16384,25,65535,65535,16384,25,112323,2028-08-31,1200000,0,False,False,2,100,07403e9febe2283a102e59a8c673365f041e4c9c93bc9fc7544259aea7fbdb19
5,136778,Max Dowman,49153,26,16384,25,16384,25,9815,2028-08-31,200000,81,False,False,2,100,5f672e1fda49368d19af5f86fede0df2a08abe950d4997ca7d6f66761ada7a73
6,103404,Martin Ødegaard,16384,25,65535,65535,16384,25,92917,2027-08-31,650000,0,False,False,2,100,40a69f860fa2f6434ed7d923f18f0aad8b9bac15ffe1af5378d179e6162ca2c7
7,130202,Martín Zubimendi,16384,25,65535,65535,16384,25,39056,2027-08-31,800000,0,False,False,2,100,dbfea39f73739ea6c50ee2b11cc94770f812755937c3fadc04804b66083a98de
8,120439,Christian Nørgaard,16384,25,65535,65535,16384,25,29204,2030-08-31,70000,2,True,False,2,100,4832f4402e31dde22b40a214268b7404d21113d5d889b06ce03d2a88aa4ab03c
9,41135,Myles Lewis-Skelly,28,30,16384,25,16384,25,41414,2030-08-31,350000,5,False,True,2,100,5037e3f3fec53e5015688b50f6819fb63aff3320b4c37fc348006d5c1afe1216
10,126390,Illan Meslier,16384,25,65535,65535,16384,25,30534,2028-08-31,0,6,True,True,2,100,20750a2262f71a53564bd87b40c8a1da72301d530d8d2ea8dc6ff8388152ce18
11,108200,Gabriel Jesus,16384,25,65535,65535,16384,25,39814,2028-08-31,200000,2,True,False,2,100,6b4df4266a59d112ea278388d9723b7f301f375c6cd067e2bcd50cc99dff120e
12,132155,Jurrien Timber,16384,25,65535,65535,16384,25,39056,2029-08-31,700000,0,False,False,2,100,b85814fa7ab3a8f6d4b9ce64f39695ba0bb51466d5f150f4c5b04ec360f8c50b
13,132518,Gabriel Martinelli,16384,25,65535,65535,16384,25,42761,2027-08-31,450000,0,False,False,2,100,f40c144bb0734ce80dafba2e8f98fec233aef2151ffbef1ef02caba70084e61b
14,103613,Mikel Merino,16384,25,65535,65535,16384,25,68732,2028-08-31,300000,0,False,False,2,100,bd6963a663e4e646bab7b03acec8ec2e546dbe32c6c6b008f8da341206602936
15,114044,Ben White,16384,25,65535,65535,16384,25,39692,2028-08-31,300000,0,False,False,2,100,23281732578186d30ddd826d43fdbf76d054704b72543cacb89dbd9acc124e40
16,47242,Kepa Arrizabalaga,16384,25,65535,65535,16384,25,28699,2028-08-31,70000,6,True,True,2,100,a5ddde506eedcef76bd0da6b33bf35eb05958de4b6e01580053801db9c6c6eb7
17,393914,Riccardo Calafiori,16384,25,65535,65535,16384,25,37204,2029-08-31,500000,0,False,False,2,100,3d832b3f03e909eeb7fda76b2857fb6e97aae4d3c08a1e23213cc5b76d456a7d
18,114906,Eberechi Eze,16384,25,65535,65535,16384,25,42761,2029-08-31,600000,0,False,False,2,100,c113ddfe8fcf7a8046628392f10b09770c4051cab130b27c50aea8f6e143d1d2
19,114506,Kai Havertz,16384,25,65535,65535,16384,25,92917,2027-08-31,500000,0,False,False,2,100,dae3b157f12719efbcd40d61d58091a6d59b475ef210d76c8814608cd664a930
20,108959,Declan Rice,16384,25,65535,65535,16384,25,117168,2028-08-31,1200000,0,False,False,2,100,4c0291b2fd5d7087241aed7d3559fb8fffc0af33c4bafb0d1a83f66e82e9af88
21,126918,Viktor Gyökeres,16384,25,65535,65535,16384,25,81374,2029-08-31,650000,0,False,False,2,100,64eb8ea7337f0c527bbfafe7a380a7f332ceaa3af91a08cdc41a0fa9deb062f0
22,133299,Noni Madueke,16384,25,65535,65535,16384,25,37204,2029-08-31,500000,0,False,False,2,100,d06da1bad69b2a7419c83697e2d6024fbe5e73e9fc26d83431ed094f1b28fc3f
23,60854,Cristhian Mosquera,16384,25,65535,65535,16384,25,30656,2028-08-31,350000,0,False,False,2,100,9614039e431d5b7490938161480c74d4554362697ec068376041386efe8d7af7
24,131057,Christos Tzolis,32777,44,16384,25,16384,25,26543,2029-08-31,0,81,False,False,2,100,df4d15b16f2b88531768ff3315ffc21140e4bf435902a4eeee6882d912345800
25,110794,Ezri Konsa,49153,26,65535,65535,49153,26,37976,2029-08-31,400000,0,False,False,2,100,7487eac58397b25bcd289ed9792e19fc2b2589ddd69b57fe63d16f200f17ae25
26,100400,Tyrone Mings,49153,26,65535,65535,49153,26,28428,2027-08-31,40000,0,False,False,2,100,f781ae6c6eb122017f7df8c252db4c28ec051244e137a6e996ee0368d917fc5d
27,112070,John Mcginn,49153,26,65535,65535,49153,26,34111,2028-08-31,150000,0,False,False,2,100,be09016a86405f5f5e051d193085a8d6b767eb762cf794a7909ab67884c8713f
28,142445,Sam Proctor,33002,94,49153,26,49153,26,5804,2028-08-31,5000,16,False,False,2,100,a2739aad7103cde2b2611d243dd64faf9e87ce498a85b7ec41b329c22950e045
29,32578,Alysson,49153,26,65535,65535,49153,26,17167,2027-08-31,100000,6,True,True,2,100,32117f4fd100a2517b7758a71a2f9aee8f51963c82d5b24f0f3f4b05de38bc37
