record_index,player_id,player_name,base_link_12c_a,base_link_12e_b,aux_link_160_a,aux_link_162_b,roster_link_164_a,roster_link_166_b,salary_raw_candidate,contract_end_candidate,market_value_raw,transfer_flags_raw,transfer_listed_candidate,loan_listed_candidate,form_arrow_candidate,stamina_candidate,raw_record_sha256
5,136778,Max Dowman,49153,26,16384,25,16384,25,9815,2028-08-31,200000,81,False,False,2,100,5f672e1fda49368d19af5f86fede0df2a08abe950d4997ca7d6f66761ada7a73
9,41135,Myles Lewis-Skelly,28,30,16384,25,16384,25,41414,2030-08-31,350000,5,False,True,2,100,5037e3f3fec53e5015688b50f6819fb63aff3320b4c37fc348006d5c1afe1216
24,131057,Christos Tzolis,32777,44,16384,25,16384,25,26543,2029-08-31,0,81,False,False,2,100,df4d15b16f2b88531768ff3315ffc21140e4bf435902a4eeee6882d912345800
28,142445,Sam Proctor,33002,94,49153,26,49153,26,5804,2028-08-31,5000,16,False,False,2,100,a2739aad7103cde2b2611d243dd64faf9e87ce498a85b7ec41b329c22950e045
53,133546,Will Dennis,16441,66,49154,1017,49154,1017,7252,2029-08-31,0,1,False,False,2,100,239377538cbd674c5ec339bed5858b68e7b3af550cdcecf07d3072346df55b03
72,115227,David Brooks,32858,29,49154,1017,49154,1017,18169,2028-08-31,0,1,False,False,2,100,7bee002161fb49beb2358968f9873c4720820d168c5eeb3e1afceb53963e321e
78,52957,Álvaro Rodríguez,16532,482,49154,1017,49154,1017,9444,2028-08-31,0,33,False,False,2,100,f48bfc4f1df250bd1b044d7d561cc8f39bf564bcea34dc3891857d34459f4f36
116,143195,Tom McGill,32821,92,16388,94,16388,94,6841,2027-08-31,0,17,False,False,2,100,cfc5ad801b6195efa7791e66f4b30577c2926d2d4fd52e512138485ad3e0473b
186,119536,Dário Essugo,16415,30,32774,25,32774,25,16830,2028-08-31,0,3,True,False,2,100,a1c9990b2af0e975382fede5aac65790a2d5a1fbd5157135363e1b16be9c7324
195,103899,Dujuan Richards,49153,26,32774,25,32774,25,8626,2027-08-31,0,1,False,False,2,100,92272262c4f6f079da79135a6ddc539f2ec9e86c022dff638106d613738dc4f9
222,140697,Kaden Rodney,12,26,32775,95,32775,95,4262,2027-08-31,0,17,False,False,2,100,cb0a44ba70998165433dc7fc3fed4970359266372d42dddabfc7d242d6d9cd40
228,124840,Dwight Mcneil,12,26,16392,44,16392,44,21621,2029-08-31,0,1,False,False,2,100,618d851550d555e302b75d6bcb0bc1e4c909ea1dd011388048d0f85add4eaa77
367,107693,Freddie Woodman,16401,97,49165,25,49165,25,11944,2030-08-31,0,0,False,False,2,100,71ad2c12244ca92df1e82708c393b1aa33eb172bf03e8a5b6c7da7c72b82cc4c
