record_index,player_id,player_name,link_12c_team,link_12c_team_name_candidate,link_12c_second,link_160_team,link_160_team_name_candidate,link_160_second,link_164_team,link_164_team_name_candidate,link_164_second,candidate_date,direction_vs_roster_candidate
5,136778,Max Dowman,49153,ASTON VILLA,26,16384,ARSENAL,25,16384,ARSENAL,25,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
9,41135,Myles Lewis-Skelly,28,,30,16384,ARSENAL,25,16384,ARSENAL,25,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
24,131057,Christos Tzolis,32777,FULHAM,44,16384,ARSENAL,25,16384,ARSENAL,25,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
53,133546,Will Dennis,16441,SEVILLA,66,49154,BOURNEMOUTH,1017,49154,BOURNEMOUTH,1017,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
72,115227,David Brooks,32858,PSV EINDHOVEN,29,49154,BOURNEMOUTH,1017,49154,BOURNEMOUTH,1017,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
78,52957,Álvaro Rodríguez,16532,LANÚS,482,49154,BOURNEMOUTH,1017,49154,BOURNEMOUTH,1017,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
116,143195,Tom McGill,32821,REAL BETIS,92,16388,BRIGHTON & HOVE ALBION,94,16388,BRIGHTON & HOVE ALBION,94,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
186,119536,Dário Essugo,16415,LECCE,30,32774,CHELSEA,25,32774,CHELSEA,25,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
195,103899,Dujuan Richards,49153,ASTON VILLA,26,32774,CHELSEA,25,32774,CHELSEA,25,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
222,140697,Kaden Rodney,12,,26,32775,CRYSTAL PALACE,95,32775,CRYSTAL PALACE,95,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
228,124840,Dwight Mcneil,12,,26,16392,EVERTON,44,16392,EVERTON,44,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
370,45179,Trey Nyoni,32784,,26,49165,,25,49165,,25,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
371,129064,Rio Ngumoha,61,BAYER LEVERKUSEN,32,49165,,25,49165,,25,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
381,136694,Harvey Davies,49171,,44,49165,,25,49165,,25,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
397,103851,James Trafford,32775,CRYSTAL PALACE,95,16398,,43,16398,,43,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
407,141713,Christian McFarlane,32784,,26,16398,,43,16398,,43,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
439,104765,Tyler Fredricson,16635,,26,15,,25,15,,25,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
460,32386,John Ruddy,16635,,26,32784,,26,32784,,26,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
464,143220,Garang Kuol,32775,CRYSTAL PALACE,95,32784,,26,32784,,26,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
590,401463,Eivind Helland,32816,,90,32789,BOLOGNA,46,32789,BOLOGNA,46,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
