ct_entry_id,description,offset_hex,offset_decimal,variable_type,bit_start,bit_length,signed
17,Height (cm),0x000,0,Binary,0,8,
22,Weight (kg),0x001,1,Binary,0,8,
115,Offensive Awareness,0x003,3,Binary,0,7,
131,Stronger Foot,0x003,3,Binary,7,1,
135,Defensive Awareness,0x004,4,Binary,0,7,
137,GK Awareness,0x004,4,Binary,7,7,
116,Dribbling,0x005,5,Binary,6,7,
117,Ball Control,0x006,6,Binary,5,7,
90,Registred Position,0x007,7,Binary,4,4,
122,Finishing,0x008,8,Binary,7,7,
118,Tight Possession,0x008,8,Binary,0,7,
119,Low Pass,0x009,9,Binary,6,7,
120,Lofted Pass,0x00A,10,Binary,5,7,
136,Ball Winning,0x00C,12,Binary,7,7,
121,Heading,0x00C,12,Binary,0,7,
51,Aggression,0x00D,13,Binary,6,7,
124,Place Kicking,0x00E,14,Binary,5,7,
126,Curl,0x010,16,Binary,0,7,
138,GK Catching,0x010,16,Binary,7,7,
139,GK Clearing,0x011,17,Binary,6,7,
140,GK Reflexes,0x012,18,Binary,5,7,
142,GK Reach,0x014,20,Binary,0,7,
127,Speed,0x014,20,Binary,7,7,
132,Physical Contact,0x015,21,Binary,6,7,
133,Balance,0x016,22,Binary,5,7,
146,Form,0x017,23,Binary,4,3,
128,Acceleration,0x018,24,Binary,7,7,
129,Kicking Power,0x018,24,Binary,0,7,
130,Jump,0x019,25,Binary,6,7,
134,Stamina,0x01A,26,Binary,5,7,
187,Trickster,0x01B,27,Binary,7,1,
56,Age,0x01C,28,Binary,0,6,
185,Playing Style,0x01D,29,Binary,3,5,
92,CF - Center Forward,0x01F,31,Binary,1,2,
94,LWF - Left Wing Forward,0x01F,31,Binary,5,2,
189,Mazing Run,0x01F,31,Binary,7,1,
93,SS - Second Striker,0x01F,31,Binary,3,2,
96,AMF - Attacking Midfielder,0x020,32,Binary,2,2,
99,CMF - Center Midfielder,0x020,32,Binary,6,2,
100,DMF - Defensive Midfielder,0x020,32,Binary,4,2,
95,RWF - Right Wing Forward,0x020,32,Binary,0,2,
103,CB - Center Back,0x021,33,Binary,4,2,
101,LB - Left Back,0x021,33,Binary,6,2,
97,LMF - Left Midfielder,0x021,33,Binary,0,2,
98,RMF - Right Midfielder,0x021,33,Binary,2,2,
104,GK - Goalkeeper,0x022,34,Binary,2,2,
147,Injury Resistance,0x022,34,Binary,6,2,
102,RB - Right Back,0x022,34,Binary,0,2,
145,Weak Foot Accuracy,0x022,34,Binary,4,2,
191,Incisive Run,0x023,35,Binary,7,1,
190,Speeding Bullet,0x023,35,Binary,6,1,
144,Weak Foot Usage,0x023,35,Binary,0,2,
113,Cut Behind & Turn,0x024,36,Binary,7,1,
193,Early Cross,0x024,36,Binary,1,1,
150,Flip Flap,0x024,36,Binary,4,1,
192,Long Ball Expert,0x024,36,Binary,0,1,
194,Long Ranger,0x024,36,Binary,2,1,
151,Marseille Turn,0x024,36,Binary,5,1,
107,Scissors Feint,0x024,36,Binary,3,1,
152,Sombrero,0x024,36,Binary,6,1,
161,Acrobatic Finishing,0x025,37,Binary,4,1,
162,First-time Shot,0x025,37,Binary,6,1,
155,Heading,0x025,37,Binary,1,1,
123,Heel Trick,0x025,37,Binary,5,1,
158,Knuckle Shot,0x025,37,Binary,3,1,
156,Long Range Drive,0x025,37,Binary,2,1,
125,One-touch Pass,0x025,37,Binary,7,1,
114,Scotch Move,0x025,37,Binary,0,1,
172,GK Long Throw,0x026,38,Binary,7,1,
169,GK Low Punt,0x026,38,Binary,5,1,
171,Long Throw,0x026,38,Binary,6,1,
168,Low Lofted Pass,0x026,38,Binary,4,1,
165,Outside Curler,0x026,38,Binary,2,1,
164,Pinpoint Crossing,0x026,38,Binary,1,1,
166,Rabona,0x026,38,Binary,3,1,
163,Weighted Pass,0x026,38,Binary,0,1,
178,Acrobatic Clear,0x027,39,Binary,3,1,
143,Captaincy,0x027,39,Binary,4,1,
180,Fighting Spirit,0x027,39,Binary,6,1,
175,Gamesmanship,0x027,39,Binary,0,1,
176,Man Marking,0x027,39,Binary,1,1,
167,No Look Pass,0x027,39,Binary,7,1,
179,Super-Sub,0x027,39,Binary,5,1,
177,Track Back,0x027,39,Binary,2,1,
157,Chip shot control,0x028,40,Binary,2,1,
159,Dipping Shot,0x028,40,Binary,4,1,
170,GK High Punt,0x028,40,Binary,6,1,
174,GK Penalty Saver,0x028,40,Binary,1,1,
141,Interception,0x028,40,Binary,7,1,
173,Penalty Specialist,0x028,40,Binary,0,1,
160,Rising Shots,0x028,40,Binary,5,1,
154,Step On Skill control,0x028,40,Binary,3,1,
153,Cross Over Turn,0x029,41,Binary,1,1,
149,Double Touch,0x029,41,Binary,0,1,
181,Long Range Shooting,0x029,41,Binary,2,1,
182,Through Passing,0x029,41,Binary,3,1,
8,Player ID,0x030,48,4 Bytes,,,0
54,Commentary ID,0x034,52,4 Bytes,,,
25,Player Name,0x038,56,String,,,
23,Name on Strip (Club),0x075,117,String,,,
24,Name on Strip (National Team),0x0B2,178,String,,,
531,Team (?),0x12C,300,2 Bytes,,,0
530,League (?),0x12E,302,2 Bytes,,,0
525,Year,0x138,312,2 Bytes,,,
527,Month,0x13A,314,Byte,,,
526,Day,0x13B,315,Byte,,,
543,Affection,0x13E,318,Byte,,,0
547,Is Listed Player,0x13F,319,Binary,1,1,
634,Max Affection (?),0x13F,319,Binary,0,1,
515,Level,0x143,323,Binary,6,2,
148,Nationality,0x144,324,2 Bytes,,,
646,Blinking Form Arrow,0x146,326,Binary,7,1,1
538,Stamina Bar,0x146,326,Binary,0,7,1
645,Form Arrow,0x147,327,Binary,0,3,1
541,Period Unavailable (days),0x148,328,Byte,,,
546,Is Loan Listed,0x14A,330,Binary,2,1,
545,Is Transfer Listed,0x14A,330,Binary,1,1,
196,Team Role,0x150,336,Binary,0,5,
516,Team Player - Lone Wolf,0x151,337,Byte,,,1
519,Passion - Composure,0x152,338,Byte,,,1
521,Technique - Strength,0x153,339,Byte,,,1
520,Insight - Instinct,0x154,340,Byte,,,1
518,Impact,0x155,341,Byte,,,0
536,Salary (Euro),0x15C,348,4 Bytes,,,1
630,Market Value (Euro),0x174,372,4 Bytes,,,1
633,?,0x178,376,Byte,,,1
631,?,0x179,377,Byte,,,1
12,end (start+17C),0x17C,380,8 Bytes,,,
