constant,offset_hex,offset_decimal
OFF_PLAYER_ID,0x030,48
OFF_NAME,0x038,56
OFF_TEAM_ID,0x12C,300
OFF_LEAGUE_ID,0x12E,302
OFF_AGE,0x01C,28
OFF_REG_POS,0x007,7
OFF_MARKET_VAL,0x174,372
OFF_ORIGIN_TEAM_ID,0x160,352
OFF_ORIGIN_LEAGUE_ID,0x162,354
OFF_LOAN_END_YEAR,0x16C,364
OFF_LOAN_END_MONTH,0x16E,366
OFF_LOAN_END_DAY,0x16F,367
OFF_CONTRACT_YEAR,0x138,312
OFF_CONTRACT_MONTH,0x13A,314
OFF_CONTRACT_DAY,0x13B,315
OFF_SALARY,0x15C,348
OFF_PLAYING_STYLE,0x01D,29
OFF_TEAM_ROLE,0x150,336
OFF_TEAM_ROLE_LEVEL,0x143,323
OFF_NATIONALITY,0x144,324
