slot,address,playerId,height,weight,name
12,0x7FF4D9F523C4,46464,182,71,"Martín García"
392,0x7FF4D9F99058,54253,183,84,"Julian Ryerson"
772,0x7FF4D9FDFCEC,55526,177,78,"Bruno Giménez"
1152,0x7FF4DA026980,58024,188,77,"Hebert"
1532,0x7FF4DA06D614,60169,186,79,"Rodrigo Contreras"
1912,0x7FF4DA0B42A8,65051,171,68,"Tayeb Meziani"
2292,0x7FF4DA0FAF3C,102417,175,70,"Álex Granell"
2672,0x7FF4DA141BD0,105298,172,69,"Franco Cristaldo"
3052,0x7FF4DA188864,108822,173,70,"Lucas Marques"
3432,0x7FF4DA1CF4F8,111320,193,98,"Daniel Sappa"
3812,0x7FF4DA21618C,114113,179,76,"Niccolò Corrado"
4192,0x7FF4DA25CE20,116653,192,84,"Marius Müller"
4572,0x7FF4DA2A3AB4,118957,174,68,"Mathias Kjølø"
4952,0x7FF4DA2EA748,120595,193,86,"Oliwier Zych"
5332,0x7FF4DA3313DC,123081,192,80,"Gabriel Grando"
5712,0x7FF4DA378070,125490,183,65,"Andrés Aedo"
6092,0x7FF4DA3BED04,127095,178,73,"Sylian Mokono"
6472,0x7FF4DA405998,128780,174,83,"Felipe Mosquera"
6852,0x7FF4DA44C62C,130794,174,70,"Alan Marinelli"
7232,0x7FF4DA4932C0,132651,186,78,"Lekinho"
7612,0x7FF4DA4D9F54,133745,179,70,"Michael Kayode"
7992,0x7FF4DA520BE8,135283,168,74,"Dorlan Pabón"
8372,0x7FF4DA56787C,136977,170,72,"Joel Contreras"
8752,0x7FF4DA5AE510,139805,181,68,"Nicolás Castro"
9132,0x7FF4DA5F51A4,140735,187,83,"Antônio Čolak"
9512,0x7FF4DA63BE38,141895,180,77,"Talal Al-absi"
9892,0x7FF4DA682ACC,308222,186,78,"Amine Saïd"
10272,0x7FF4DA6C9760,383470,187,82,"Ousmane Touré"
