arena,slot,address,playerId,height,weight,name
A,132,0x7FF4D9E7896C,10681,193,80,"Nicolas Kocik"
A,512,0x7FF4D9EBF600,37197,178,75,"Nicolò Brighenti"
A,892,0x7FF4D9F06294,42375,185,80,"Bruno Martins Indi"
A,1272,0x7FF4D9F4CF28,46203,190,86,"Neto Volpi"
B,12,0x7FF4D9F523C4,46464,182,71,"Martín García"
A,1652,0x7FF4D9F93BBC,54076,182,74,"Alex Cazumba"
B,392,0x7FF4D9F99058,54253,183,84,"Julian Ryerson"
A,2032,0x7FF4D9FDA850,55362,173,67,"Johan Martínez"
B,772,0x7FF4D9FDFCEC,55526,177,78,"Bruno Giménez"
A,2412,0x7FF4DA0214E4,57965,176,68,"K. Tapies"
B,1152,0x7FF4DA026980,58024,188,77,"Hebert"
A,2792,0x7FF4DA068178,59985,191,86,"Hazem Mastouri"
B,1532,0x7FF4DA06D614,60169,186,79,"Rodrigo Contreras"
A,3172,0x7FF4DA0AEE0C,63783,188,75,"Mory Gbane"
B,1912,0x7FF4DA0B42A8,65051,171,68,"Tayeb Meziani"
A,3552,0x7FF4DA0F5AA0,102141,192,77,"Nicolò Savona"
B,2292,0x7FF4DA0FAF3C,102417,175,70,"Álex Granell"
A,3932,0x7FF4DA13C734,105056,176,72,"Petros Mantalos"
B,2672,0x7FF4DA141BD0,105298,172,69,"Franco Cristaldo"
A,4312,0x7FF4DA1833C8,108657,174,79,"Lautaro Martínez"
B,3052,0x7FF4DA188864,108822,173,70,"Lucas Marques"
A,4692,0x7FF4DA1CA05C,111166,176,73,"Rodrigo Soares"
B,3432,0x7FF4DA1CF4F8,111320,193,98,"Daniel Sappa"
A,5072,0x7FF4DA210CF0,113993,184,70,"Mamadou Camara"
B,3812,0x7FF4DA21618C,114113,179,76,"Niccolò Corrado"
A,5452,0x7FF4DA257984,116428,188,80,"Mamadou Loum"
B,4192,0x7FF4DA25CE20,116653,192,84,"Marius Müller"
A,5832,0x7FF4DA29E618,118656,180,78,"Dujon Sterling"
B,4572,0x7FF4DA2A3AB4,118957,174,68,"Mathias Kjølø"
A,6212,0x7FF4DA2E52AC,120481,192,78,"Alejandro de Echevarría"
B,4952,0x7FF4DA2EA748,120595,193,86,"Oliwier Zych"
A,6592,0x7FF4DA32BF40,122884,187,80,"Wang Yaopeng"
B,5332,0x7FF4DA3313DC,123081,192,80,"Gabriel Grando"
A,6972,0x7FF4DA372BD4,125368,175,74,"Ege Bilsel"
B,5712,0x7FF4DA378070,125490,183,65,"Andrés Aedo"
A,7352,0x7FF4DA3B9868,126950,196,86,"Mota"
B,6092,0x7FF4DA3BED04,127095,178,73,"Sylian Mokono"
A,7732,0x7FF4DA4004FC,128629,186,73,"Jon Garro"
B,6472,0x7FF4DA405998,128780,174,83,"Felipe Mosquera"
A,8112,0x7FF4DA447190,130626,188,78,"Furkan Bayir"
B,6852,0x7FF4DA44C62C,130794,174,70,"Alan Marinelli"
A,8492,0x7FF4DA48DE24,132578,175,72,"Lucas Calegari"
B,7232,0x7FF4DA4932C0,132651,186,78,"Lekinho"
A,8872,0x7FF4DA4D4AB8,133665,170,63,"Romeo Benítez"
B,7612,0x7FF4DA4D9F54,133745,179,70,"Michael Kayode"
A,9252,0x7FF4DA51B74C,135189,178,69,"R. Furuyado"
B,7992,0x7FF4DA520BE8,135283,168,74,"Dorlan Pabón"
A,9632,0x7FF4DA5623E0,136872,190,78,"Djakaridja Junior Traoré"
B,8372,0x7FF4DA56787C,136977,170,72,"Joel Contreras"
A,10012,0x7FF4DA5A9074,139737,186,81,"Chen Zitong"
B,8752,0x7FF4DA5AE510,139805,181,68,"Nicolás Castro"
A,10392,0x7FF4DA5EFD08,140674,187,70,"Hugo Larsson"
B,9132,0x7FF4DA5F51A4,140735,187,83,"Antônio Čolak"
A,10772,0x7FF4DA63699C,141813,178,67,"Ernest Nuamah"
B,9512,0x7FF4DA63BE38,141895,180,77,"Talal Al-absi"
A,11152,0x7FF4DA67D630,305630,181,67,"Ibrahim Saadeh"
B,9892,0x7FF4DA682ACC,308222,186,78,"Amine Saïd"
A,11532,0x7FF4DA6C42C4,379824,185,70,"Mateusz Zukowski"
B,10272,0x7FF4DA6C9760,383470,187,82,"Ousmane Touré"
A,11912,0x7FF4DA70AF58,401519,176,69,"Xiong Yian"
A,12293,0x7FF4DA751EE7,727872,209,59,"as Al-buraikan"
